Name,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,Fe2Fet,P
LAR06319,48.43042186,0.659484991,5.580711696,0.563795726,20.86728331,0.487926658,15.7698586,6.348515871,1.114336968,0.185849433,,0.555610611,0.95,1
NWA1068-1110,45.78,0.77,5.75,0.63,20.48,0.46,16.5,7.91,1.14,0.16,,0.42,0.95,1
EETA79001A,49.9,0.7,5.91,0.62,18.4,0.48,16.1,7.26,0.86,0.04,,0.6,0.95,1
NWA6234,44.6,0.82,5.17,0.64,21.3,0.56,17.1,6.77,1.04,0.08,,0.81,0.95,1
SaU051,44.3,0.450199241,4.437790585,0.779771289,20,0.274141409,20.91385872,8.578384531,0.816054177,0.012155376,,0.43737141,0.95,1
NWA4925,44.53,0.78,4.77,0.29,16.7,0.51,15.9,6.52,0.88,0.06,,0.82,0.95,1
NWA5990,42.26,0.72,6.94,0.41,22.06,0.465,17.09,6.54,0.79,0.02,,0.99,0.95,1
SaU005,47.2,0.42,4.53,0.78,18.34,0.46,20.49,5.74,0.6,0.022,,0.31,0.95,1
DaG476-489,46.74,0.385555556,4.412222222,0.77,16.09781422,0.442666667,19.03555556,7.628888889,0.591428571,0.04025,,0.405,0.95,1
Dho019,48.43794941,0.518036701,5.898156513,1.025732777,19.73088448,0.472998687,15.23282171,8.34807271,0.941237404,0.047565556,,0.372276841,0.95,1
Y980459,49.33333333,0.517333333,5.48,0.72625,17.165,0.48025,18.81333333,6.57,0.65275,0.019175,,0.3,0.95,1
NWA5789,48.905,0.465,5.49,0.595,17.085,0.46,18.445,6.505,0.56,0.02,,0.36,0.95,1
NWA6162,46.57,0.33,4.05,0.82,18.32,0.47,21.75,5.09,0.53,0.02,,0.29,0.95,1
Tissint,47.03397506,0.64424391,5.142776079,0.761642835,20.87135586,0.498212033,17.48583869,7.11110058,0.682874134,0.028180625,,0.501443027,0.95,1
DaG476,50.03637073,0.372608745,4.167206228,0.759218957,17.46355401,0.448211397,19.45079778,7.20408377,0.493063042,0.060883537,,0.303220768,0.95,1
LAR12240-7,47.90024055,0.519304087,5.644984096,0.662496844,18.39693089,0.464756164,18.65153012,7.136009086,0.827436828,0.028531193,,0.430276985,0.95,1
LAR12011-12,46.0203724,0.7180843,5.777052407,0.599595371,21.87402651,0.500612359,16.00982748,7.054444337,1.122217497,0.159607895,,0.763754824,0.95,1
LAR12095-14,48.41282952,0.518640358,5.889228658,0.720572552,17.91324998,0.46257019,17.91656346,7.608343078,0.821793225,0.044630622,,0.412150915,0.95,1
RBT04262,44.73088476,0.621489668,5.458296635,0.793834395,23.40791999,0.495479419,18.80519695,4.729772234,1.101984274,0.109738846,0,0.539237219,0.95,1
LEW88516,46,0.39,3.31,0.86,19,0.49,25,4.2,0.56,0.029,0,0.39,0.95,1
