Name,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,Fe2Fet,P
A1,39.448067,1.204866,5.293991,0.434743,28.26749857,0.466816,11.668993,9.709247,0.13715,1.119313,0,1.839614,0.93,1
A2,43.282521,0.960093,5.403385,0.890329,27.86206381,1.390794,8.797548,7.05656,2.669841,0.629314,0,0.263877,0.94,1
A3,43.132199,0.99576,5.492506,1.136093,26.94442197,1.330055,8.268342,7.692858,2.723861,0.648627,0,0.940779,0.94,1
A4,43.452098,0.946073,5.820486,0.960998,27.70144455,1.468579,8.646763,6.828069,2.578711,0.564989,0,0.227234,0.94,1
A5,45.592855,0.972167,5.949287,1.142291,26.5924504,1.414271,6.835693,5.858918,3.167643,0.755638,0,0.979906,0.94,1
A6,47.050003,0.957947,6.655379,1.458292,23.92576532,1.48039,6.488874,6.104645,2.958355,1.469448,0,0.511031,0.94,1
A7,42.85012,1.220159,5.720836,1.376012,27.3271932,1.466662,8.755372,8.217132,0.636182,0.514706,0,1.443328,0.92,1
A8,44.021366,0.96242,5.255092,1.061681,26.31339522,1.322654,7.870591,7.7457,2.923357,0.806576,0,0.994165,0.93,1
A9,42.138613,0.982182,5.887852,0.97854,29.13341091,1.152909,7.77189,7.710062,2.487478,0.672047,0,0.29214,0.93,1
A10,50.103195,0.88191,5.638684,1.190719,20.39741627,1.639741,6.892194,6.494873,4.133265,0.834637,0,0.98006,0.93,1
A11,45.48447,0.975983,6.61579,1.277416,25.10326886,1.218509,7.162281,6.935514,2.67534,1.078275,0,0.652664,0.93,1
A12,50.286083,0.930703,5.660875,1.182268,19.90217354,1.645726,6.425439,7.294501,4.123056,0.834688,0,0.88016,0.93,1
A13,44.129713,1.221946,4.87109,1.249917,27.35118892,1.289813,8.970087,7.647189,0.536909,0.55098,0,1.49777,0.93,1
A14,45.097765,0.958484,5.148972,0.970417,25.16861511,1.218057,8.302657,7.417837,3.00297,0.912489,0,1.067587,0.93,1
A15,43.118763,0.774332,5.537478,1.107916,28.14080907,1.389461,8.913365,4.876601,2.988479,1.445281,0,0.987546,0.93,1
A16,43.556243,0.839928,6.163542,0.930662,26.45310592,1.483727,8.050408,7.231453,3.118174,0.629845,0,0.67238,0.93,1
A17,43.396619,0.970592,6.642267,1.095877,27.98535471,1.420253,7.15368,6.48971,2.818675,0.715294,0,0.627268,0.93,1
A18,43.560427,0.913722,7.486418,0.943614,26.95088478,1.387719,7.865304,6.562055,2.577275,0.484811,0,0.46951,0.93,1
A19,45.94857,0.980257,5.806269,0.995463,25.07042547,1.505712,6.609665,6.871569,3.222983,1.042512,0,1.206883,0.93,1
A20,41.586696,0.800932,7.029601,1.073065,29.26507767,1.308674,8.651551,5.634678,2.555143,0.703921,0,0.62785,0.93,1
A21,43.04889,0.912604,5.095511,1.081202,28.25617451,1.355848,8.51726,6.582852,2.799731,0.872569,0,0.77109,0.93,1
A22,43.739978,0.753196,7.953036,1.123138,24.82812672,1.141352,7.657235,7.032145,2.938535,1.157073,0,0.8186,0.93,1
A23,43.700892,0.995316,4.970537,1.190123,26.85681265,1.372062,8.370566,7.582877,2.756299,0.633177,0,0.875595,0.93,1
A24,42.871862,0.870425,5.979592,0.990342,29.40502935,1.394979,7.588846,5.491611,3.011309,0.723606,0,0.865223,0.93,1
A25,43.150195,0.937679,5.138361,1.086777,28.32649929,1.253124,7.978765,6.926412,2.882861,0.858733,0,0.751466,0.93,1
A26,42.547837,0.947465,6.04506,1.076358,29.41778604,1.256917,8.133254,6.517381,2.405673,0.640795,0,0.269589,0.93,1
